ticket_id,recebido_em,canal,customer_id,nome_cliente,categoria,mensagem_cliente,guincho_acionado_em,guincho_enviado_em,valor_contestado_reais,contrato_inicio,onboarding_status
700535,2026-07-01 02:14,whatsapp,10175,Rose Ribeiro,Guincho,Carro morreu na Marginal de madrugada. Já pedi o guincho e ninguém aparece. Semana passada foi a mesma coisa.,2026-07-01 02:10,,,,
700536,2026-07-01 07:21,app,10151,Everton Oliveira,Guincho,"Pneu estourou e o estepe está vazio. Pedi o guincho pelo app, tem previsão?",2026-07-01 07:20,2026-07-01 07:48,,,
700537,2026-07-01 06:40,whatsapp,10121,Fábio Moreira,Guincho,Estou parado desde cedo esperando. Ninguém me respondeu ainda.,,,,,
700538,2026-07-01 07:05,telefone,10103,Thiago Cardoso,Sinistro,"Bateram na minha traseira no semáforo. O outro motorista está aqui comigo, ninguém se machucou.",,,,,
700539,2026-06-30 21:32,app,10127,Rose Ferreira,Sinistro,Arranhei a lateral numa pilastra do estacionamento. Ninguém envolvido. Preciso comunicar?,,,,,
700540,2026-06-30 22:10,whatsapp,10218,Rose Almeida,Cobrança,Veio uma cobrança de avaria de R$ 950 que eu não reconheço. Devolvi o carro sem nenhum dano.,,,950,,
700541,2026-07-01 07:30,whatsapp,10109,Rodrigo Teixeira,Cobrança,Chegou uma multa de R$ 850 que não sei de onde é. Podem me mandar a foto e o local?,,,850,,
700542,2026-06-30 23:48,whatsapp,10105,Robson Lima,Cobrança,Esse mês a fatura veio pesada demais com essas manutenções. Do jeito que está não consigo continuar pagando.,,,,,
700543,2026-07-01 07:12,whatsapp,10301,Luana Freitas,Onboarding,Assinei na sexta e até agora não consegui retirar o carro. A vistoria nunca é confirmada. Estou pensando em desistir.,,,,2026-06-26,vistoria pendente
700544,2026-07-01 00:55,app,10318,Caio Mendes,Onboarding,Quero saber em que pé está meu cadastro.,,,,,
700545,2026-06-30 20:03,whatsapp,10163,Jefferson Nascimento,Cancelamento,Quero cancelar. Foram três guinchos que demoraram o dia inteiro este mês. Não dá para trabalhar assim.,,,,,
700546,2026-06-30 19:40,whatsapp,10004,Robson Teixeira,Cobrança,"Cancelei e devolvi o carro, mas apareceu mais uma cobrança semanal. Quero entender.",,,,,
700547,2026-07-01 07:44,app,10276,Fábio Santos,Planos,Estou usando bem pouco o carro. Tem alguma opção para eu não pagar o mesmo valor?,,,,,
700548,2026-06-30 22:37,whatsapp,10236,Marcelo Carvalho,Manutenção,O carro foi para a oficina de novo e fiquei sem. Quero alguma compensação por esses dias.,,,,,
700549,2026-07-01 06:02,app,10115,Wagner Gomes,Dúvida app,Troquei de celular e não consigo entrar no app.,,,,,
700550,2026-06-30 20:51,whatsapp,10133,Aline Araújo,Cobrança,Onde pego a segunda via do boleto desta semana?,,,,,
700551,2026-07-01 07:50,app,10145,Débora Ribeiro,Manutenção,O ar-condicionado parou. Passageiro reclama e perco nota no app. Dá para agendar?,,,,,
700552,2026-07-01 06:58,whatsapp,10157,Priscila Oliveira,Manutenção,O freio está chiando bastante desde ontem. Consigo encaixar hoje?,,,,,
700553,2026-06-30 19:15,app,10138,Michele Rocha,Planos,Quero passar para um carro maior. Como faço o upgrade?,,,,,
700554,2026-07-01 07:36,whatsapp,10114,Cleber Oliveira,Manutenção,Terceira vez na oficina só este mês. Vivo de corrida e fico parado toda semana.,,,,,
